ID,text_donation,comic_donation,socialnorm_donation
0,,4,
1,2,,
2,1.5,,
3,,4,
4,3,,
5,,2.5,
6,,4,
7,,5,
8,,5,
9,1,,
10,,2.5,
11,2.5,,
12,1,,
13,,5,
14,4.5,,
15,3,,
16,4,,
17,2.5,,
18,,2.5,
19,,5,
20,2.5,,
21,2.5,,
22,,4.5,
23,,5,
24,2,,
25,1,,
26,,2.5,
27,0,,
28,,5,
29,0.5,,
30,2.5,,
31,,5,
32,4,,
33,2.5,,
34,,2.5,
35,,1,
36,,0,
37,,5,
38,2.5,,
39,3,,
40,,0,
41,4.5,,
42,,1,
43,2.5,,
44,5,,
45,1,,
46,2.5,,
47,2.5,,
48,3,,
49,4,,
50,,4.5,
51,3,,
52,,1,
53,,2.5,
54,,1,
55,,5,
56,,0.5,
57,0,,
58,1.5,,
59,,5,
60,0.5,,
61,,2.5,
62,,2,
63,,3.5,
64,,0.5,
65,,2.5,
66,,1,
67,3,,
68,2.5,,
69,2.5,,
70,0,,
71,,1,
72,,5,
73,0,,
74,,2.5,
75,,5,
76,0.5,,
77,,2.5,
78,2.5,,
79,,5,
80,4,,
81,,5,
82,0,,
83,0,,
84,1,,
85,,5,
86,,4.5,
87,0,,
88,5,,
89,,2,
90,,1,
91,1,,
92,,3,
93,,3,
94,,5,
95,,1,
96,0,,
97,,2.5,
98,0.5,,
99,2.5,,
100,2.5,,
101,,2.5,
102,,1,
103,0,,
104,0,,
105,,2.5,
106,3,,
107,,2.5,
108,3,,
109,,5,
110,,1,
111,,5,
112,0,,
113,,2.5,
114,2,,
115,3.5,,
116,1.5,,
117,,5,
118,5,,
119,2.5,,
120,,5,
121,0,,
122,,1.5,
123,,2,
124,0,,
125,,0,
126,0,,
127,2.5,,
128,,5,
129,1,,
130,,5,
131,3,,
132,0,,
133,,1,
134,2.5,,
135,,5,
136,,2.5,
137,0,,
138,,1,
139,,0,
140,,1.5,
141,3,,
142,0,,
143,,2.5,
144,1,,
145,0,,
146,,0,
147,,2,
148,0,,
149,1,,
150,2,,
151,,0,
152,0,,
153,,5,
154,,0,
155,1,,
156,,2,
157,2.5,,
158,2.5,,
159,,0,
160,0,,
161,,0,
162,1,,
163,5,,
164,,0,
165,5,,
166,,0,
167,,0,
168,,1,
169,1,,
170,0,,
171,0,,
172,,0,
173,2.5,,
174,0,,
175,,2.5,
176,,0,
177,,0,
178,0,,
179,,2,
180,,0,
181,1,,
182,0,,
183,,2,
184,0,,
185,,,3.5
186,,,4
187,,,5
188,,,5
189,,,4
190,,,5
191,,,4.5
192,,,5
193,,,5
194,,,5
195,,,2.5
196,,,1
197,,,5
198,,,1
199,,,3
200,,,3.5
201,,,1.5
202,,,2
203,,,5
204,,,2.5
205,,,5
206,,,5
207,,,2.5
208,,,2
209,,,4.5
210,,,1
211,,,5
212,,,2.5
213,,,5
214,,,5
215,,,4.5
216,,,4.5
217,,,5
218,,,5
219,,,1.5
220,,,3.5
221,,,4.5
222,,,5
223,,,2.5
224,,,3.5
225,,,0
226,,,1
227,,,5
228,,,2.5
229,,,1.5
230,,,2
231,,,1
232,,,1
233,,,0
234,,,2
235,,,2.5
236,,,0
237,,,5
238,,,2.5
239,,,4.5
240,,,0
241,,,2.5
242,,,4.5
243,,,5
244,,,2
245,,,2
246,,,2.5
247,,,5
248,,,4.5
249,,,1
250,,,1
251,,,0.5
252,,,3
253,,,0
254,,,0.5
255,,,0.5
256,,,5
257,,,5
258,,,4.5
259,,,0
260,,,0.5
261,,,3
262,,,1
263,,,0
264,,,0
265,,,0
266,,,0.5
267,,,1
268,,,5
269,,,0.5
270,,,5
271,,,0
272,,,2.5
273,,,2.5
274,,,0
275,,,1
276,,,1
